loss,configuration
24508.67578125,"[([0.8333333333333333, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24508.759765625,"[([0.5, 0.5, 0.5, 0.5, 0.5], 32), ([0.5, 0.5, 0.5, 0.5, 0.5], 32), ([0.5, 0.5, 0.5, 0.5, 0.5], 32)]"
24510.17578125,"[([0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
24511.978515625,"[([0.8333333333333333, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.16666666666666666, 0.5], 32)]"
24512.6328125,"[([0.5, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]"
24513.4404296875,"[([0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32)]"
24515.1005859375,"[([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
24515.939453125,"[([0.5, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.5, 0.5, 0.16666666666666666, 0.5], 32)]"
24516.466796875,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24524.039713541668,"[([0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24531.6103515625,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32)]"
24535.24609375,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.2777777777777778, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.2777777777777778, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.2777777777777778, 0.5], 32)]"
24542.997395833332,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32)]"
24548.166015625,"[([0.9444444444444444, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24561.037109375,"[([0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24562.611328125,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.05555555555555555, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.05555555555555555, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.05555555555555555, 0.5], 32)]"
