exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
121,"(121, [0.167, 0.5, 0.833, 0.5, 0.5], 32)",24384.544921875,0.6121805460200533,[0.00096582],[0.27350886],[0.00709729],[1.15934628],True,False,True
122,"(122, [0.167, 0.5, 0.833, 0.5, 0.5], 32)",24407.572265625,0.628295997271791,[0.02570217],[9.14007583],nan,nan,True,False,nan
123,"(123, [0.722, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.00443149],[1.35733727],nan,nan,False,True,nan
124,"(124, [0.722, 0.833, 0.833, 0.5, 0.5], 32)",24487.162109375,0.5926177700764526,[0.04722712],[16.43109961],nan,nan,True,False,nan
125,"(125, [0.722, 0.833, 0.833, 0.5, 0.5], 32)",24418.3046875,0.6502433701862065,[0.00273834],[0.73409356],[0.04213006],[6.47912173],True,False,True
126,"(126, [0.944, 0.833, 0.833, 0.5, 0.5], 32)",24390.83984375,0.620564163992036,[0.02536265],[7.28872867],nan,nan,True,False,nan
127,"(127, [0.944, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.01092033],[3.41744039],nan,nan,False,True,nan
128,"(128, [0.944, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.0047913],[1.24390391],nan,nan,False,True,nan
129,"(129, [0.833, 0.833, 0.167, 0.167, 0.167], 32)",24539.2578125,0.6495047481961669,[0.03871383],[9.62671213],nan,nan,True,False,nan
130,"(130, [0.833, 0.833, 0.167, 0.167, 0.167], 32)",24571.81640625,0.6054488007689476,[0.00346419],[1.14945448],[0.00969593],[1.60144472],True,False,True
131,"(131, [0.833, 0.833, 0.167, 0.167, 0.167], 32)",24517.91796875,0.647195564850842,[0.01117672],[3.26178604],[0.03024936],[4.67391314],True,False,True
132,"(132, [0.833, 0.833, 0.167, 0.167, 0.833], 32)",24486.04296875,0.64222876195561,[0.04092368],[14.06728321],nan,nan,True,False,nan
133,"(133, [0.833, 0.833, 0.167, 0.167, 0.833], 32)",24499.189453125,0.6511371771054251,[0.02937932],[8.20573801],nan,nan,True,False,nan
134,"(134, [0.833, 0.833, 0.167, 0.167, 0.833], 32)",24470.546875,0.602015742523734,[0.03423148],[9.08213324],nan,nan,True,False,nan
135,"(135, [0.167, 0.833, 0.167, 0.5, 0.5], 32)",24520.564453125,0.6506729111748423,[0.00727131],[2.2302899],[0.01432954],[2.20226548],True,False,True
136,"(136, [0.167, 0.833, 0.167, 0.5, 0.5], 32)",inf,inf,[0.0090959],[2.49261878],nan,nan,False,True,nan
137,"(137, [0.167, 0.833, 0.167, 0.5, 0.5], 32)",24429.625,0.593929767097702,[0.00333444],[1.11598107],[0.02277024],[3.83382622],True,False,False
138,"(138, [0.167, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.00058961],[0.17831376],nan,nan,False,True,nan
139,"(139, [0.167, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.00136415],[0.36508621],nan,nan,False,True,nan
140,"(140, [0.167, 0.833, 0.833, 0.5, 0.5], 32)",24510.17578125,0.5843410095141361,[0.00169426],[0.49485959],[0.02297386],[3.93158484],True,False,False
141,"(141, [0.833, 0.722, 0.833, 0.5, 0.5], 32)",24379.578125,0.5853585141513062,[0.00845981],[2.35065182],[0.02711778],[4.63267898],True,False,False
142,"(142, [0.833, 0.722, 0.833, 0.5, 0.5], 32)",24469.451171875,0.5771508110894522,[0.01219267],[4.62972119],[0.07760299],[13.44587707],True,False,False
143,"(143, [0.833, 0.722, 0.833, 0.5, 0.5], 32)",24516.138671875,0.6444816253516197,[0.00462129],[1.7374292],[0.00164141],[0.2546869],True,False,True
144,"(144, [0.833, 0.944, 0.833, 0.5, 0.5], 32)",24514.701171875,0.6279236397490859,[0.00077627],[0.22851379],[0.0117429],[1.87011539],True,False,True
145,"(145, [0.833, 0.944, 0.833, 0.5, 0.5], 32)",24514.078125,0.5897092274283434,[0.01843029],[7.27603721],nan,nan,True,False,nan
146,"(146, [0.833, 0.944, 0.833, 0.5, 0.5], 32)",24455.51953125,0.625552074053788,[0.08972955],[20.4812788],nan,nan,True,False,nan
147,"(147, [0.722, 0.833, 0.167, 0.167, 0.5], 32)",24469.826171875,0.629921706400173,[0.00657135],[2.34182519],[0.00203859],[0.32362666],True,False,True
148,"(148, [0.722, 0.833, 0.167, 0.167, 0.5], 32)",24430.34375,0.6432700692576211,[0.02877068],[7.77188221],nan,nan,True,False,nan
149,"(149, [0.722, 0.833, 0.167, 0.167, 0.5], 32)",24510.615234375,0.5815003287085411,[0.00416431],[1.3995066],[0.03167484],[5.44708851],True,False,False
