losses,i_loss,f_loss
"[524314.0, 521577.06, 518714.72, 515657.97, 512329.44]",508640.28,25482.762
"[525757.1, 523208.84, 520627.38, 517952.25, 515125.53]",512079.94,27662.99
"[524637.6, 522136.28, 519634.62, 517077.12, 514408.47]",511571.25,28962.896
"[525543.6, 522764.62, 519911.7, 516910.72, 513686.25]",510152.34,25889.635
"[526061.75, 523334.8, 520706.03, 518106.97, 515471.53]",512740.06,30128.545
"[525262.2, 522922.7, 520594.3, 518231.8, 515789.7]",513221.2,30576.414
"[526574.25, 523841.94, 521107.6, 518301.9, 515356.1]",512194.9,27378.03
"[527679.6, 524839.06, 522041.38, 519211.56, 516273.88]",513153.44,27755.62
"[525238.2, 522626.72, 519997.84, 517288.75, 514435.6]",511371.88,27703.992
"[526996.1, 524403.44, 521791.88, 519102.6, 516272.03]",513235.1,27906.725
"[527371.56, 524784.1, 522222.25, 519625.62, 516935.0]",514091.8,29155.133
"[525670.25, 523210.28, 520815.7, 518433.78, 516015.78]",513512.5,31801.12
"[524123.06, 521445.38, 518716.25, 515867.7, 512830.56]",509528.34,26683.783
"[523602.88, 521026.03, 518396.0, 515651.9, 512730.3]",509560.75,27081.6
"[524451.94, 521753.97, 519055.53, 516287.34, 513381.88]",510266.5,27527.318
"[524602.5, 522076.66, 519584.34, 517066.56, 514468.97]",511733.0,29675.256
"[525843.56, 523218.88, 520600.75, 517927.56, 515136.6]",512161.3,28306.398
"[524533.56, 521942.6, 519330.8, 516637.4, 513800.25]",510751.44,27818.297
"[527168.06, 524394.6, 521675.03, 518936.78, 516110.12]",513124.6,28255.5
"[524801.8, 521998.75, 519154.12, 516196.53, 513046.9]",509623.5,26286.57
"[524812.25, 522277.94, 519695.62, 517006.56, 514149.7]",511058.44,27265.219
"[526761.6, 524320.3, 521829.22, 519236.3, 516486.0]",513517.5,27839.88
"[524811.2, 522107.12, 519424.0, 516693.78, 513850.56]",510826.88,28326.111
"[524825.7, 522145.25, 519481.3, 516767.28, 513938.0]",510927.0,28338.787
"[524934.2, 521921.6, 518930.12, 515873.3, 512665.2]",509218.88,26740.268
"[524047.78, 521416.12, 518744.9, 515970.34, 513026.56]",509840.3,27229.715
"[523423.62, 520903.6, 518387.1, 515814.6, 513132.6]",510280.8,29172.467
"[525457.5, 522686.75, 519925.16, 517101.6, 514144.5]",510980.44,27648.34
"[527334.56, 524311.8, 521474.66, 518733.6, 516013.8]",513243.25,30879.672
"[524728.2, 521893.97, 519111.38, 516306.22, 513406.97]",510338.75,28401.084
"[525425.25, 522849.28, 520280.5, 517657.84, 514922.12]",512010.12,28479.24
"[525389.1, 522871.06, 520297.44, 517612.97, 514757.3]",511665.75,27431.734
"[524938.4, 522346.34, 519776.94, 517168.12, 514461.72]",511594.4,28970.668
"[524411.9, 521571.12, 518745.72, 515860.44, 512838.5]",509602.7,27380.072
"[523985.2, 521294.66, 518631.56, 515928.4, 513118.66]",510134.97,28421.51
"[523093.5, 520271.56, 517401.5, 514406.3, 511207.97]",507723.7,26271.342
"[524770.0, 522455.06, 520124.12, 517733.28, 515238.38]",512589.84,29737.867
"[524445.5, 522045.56, 519619.16, 517116.72, 514487.25]",511673.44,28702.332
"[526262.06, 523572.7, 520973.53, 518396.06, 515777.88]",513061.56,30424.71
"[526299.75, 523611.25, 520945.06, 518234.9, 515414.97]",512414.0,28019.832
"[524393.4, 521781.8, 519174.66, 516510.06, 513724.5]",510750.94,28116.574
"[523484.3, 520800.44, 518089.06, 515282.6, 512314.2]",509107.94,27108.396
"[528370.75, 525270.7, 522251.25, 519218.0, 516084.16]",512761.94,27114.914
"[528634.3, 525933.6, 523341.4, 520787.44, 518212.9]",515558.2,30776.488
"[524940.75, 522386.06, 519806.12, 517140.7, 514330.5]",511308.56,27799.66
"[525518.1, 522525.38, 519513.0, 516394.94, 513083.62]",509485.84,25973.115
"[525324.44, 522499.94, 519765.1, 517044.7, 514268.75]",511367.88,29119.105
"[524020.56, 521285.53, 518559.25, 515771.12, 512853.1]",509730.25,27683.703
"[523338.9, 520565.2, 517731.44, 514764.6, 511589.4]",508122.7,26285.393
"[525161.4, 522147.12, 519153.3, 516092.03, 512875.6]",509415.0,26425.176
"[524983.75, 522526.97, 520090.22, 517620.1, 515066.1]",512375.0,29992.816
"[527159.6, 524372.9, 521702.88, 519075.5, 516423.38]",513684.4,30379.146
"[526582.6, 523823.12, 521046.94, 518182.94, 515160.75]",511903.62,27045.36
"[527015.8, 523999.38, 521040.62, 518051.5, 514945.56]",511635.12,26968.584
"[525810.3, 523069.22, 520297.88, 517427.25, 514383.0]",511087.97,26732.027
"[525913.6, 523082.7, 520331.03, 517581.44, 514764.5]",511807.94,28863.0
"[526318.75, 523714.7, 521147.0, 518552.72, 515873.25]",513047.56,29082.082
"[527011.4, 524452.2, 521924.12, 519368.12, 516727.25]",513943.7,29415.457
"[527302.8, 524114.88, 521063.5, 518048.5, 514982.8]",511777.94,28145.629
"[524931.7, 522262.8, 519569.12, 516786.22, 513844.7]",510672.66,27295.133
"[523050.6, 520474.5, 517912.53, 515304.88, 512590.84]",509709.6,28763.41
"[525584.44, 522735.3, 519908.25, 517024.62, 514008.06]",510780.2,27299.44
"[524148.88, 521009.47, 517795.78, 514412.3, 510762.47]",506737.5,24929.865
"[523203.2, 520635.2, 517990.0, 515207.88, 512223.38]",508965.25,26807.082
"[524676.0, 521987.9, 519296.0, 516531.8, 513629.06]",510515.06,27678.484
"[526185.7, 523401.5, 520592.56, 517687.2, 514611.12]",511283.25,26818.67
"[523582.66, 520732.4, 517854.62, 514871.75, 511705.1]",508271.06,26464.518
"[525616.9, 523027.22, 520457.03, 517846.53, 515136.2]",512264.4,28955.31
"[524959.56, 522207.75, 519502.12, 516768.12, 513937.9]",510940.7,28292.043
"[527226.06, 524527.5, 521894.8, 519262.06, 516562.34]",513734.2,29401.836
"[526505.9, 524026.0, 521586.3, 519133.28, 516617.62]",513984.56,30543.152
"[526048.94, 523246.9, 520487.34, 517695.72, 514799.12]",511726.62,28084.55
"[524084.1, 521691.5, 519295.38, 516845.72, 514297.28]",511596.3,29818.781
"[528514.44, 525858.0, 523298.66, 520772.44, 518219.62]",515583.53,30919.59
"[524534.5, 521853.7, 519132.94, 516303.38, 513295.97]",510036.72,26961.145
"[524806.56, 522483.3, 520181.66, 517856.2, 515464.72]",512962.0,31382.996
"[523877.97, 520974.75, 517993.72, 514852.7, 511468.4]",507749.1,25587.71
"[526155.5, 523418.12, 520685.38, 517885.12, 514948.97]",511803.34,27585.127
"[527802.7, 525491.44, 523190.22, 520856.22, 518448.06]",515919.56,30953.049
"[526616.2, 523926.75, 521198.97, 518368.47, 515362.94]",512110.5,26949.406
"[525664.9, 522701.38, 519716.12, 516624.66, 513341.75]",509777.2,26136.549
"[527654.06, 525096.6, 522633.5, 520204.7, 517757.62]",515239.5,31681.928
"[526576.94, 523936.0, 521339.9, 518725.6, 516030.94]",513191.9,29041.81
"[526151.56, 523254.06, 520374.2, 517431.47, 514347.7]",511040.16,26942.799
